insert-tree@simple_stmt2file_input|insert-tree@simple_stmt2file_input|insert-tree@simple_stmt2file_input|insert-tree@simple_stmt2file_input|insert-tree@simple_stmt2file_input|insert-tree@funcdef2file_input|insert-tree@if_stmt2file_input|,,,,,,,,,,,,
86d9ab671f469408fffa239c41e7c6e4d6c3dbea,a8a9b6e9e95b3d715fff8c3d0518985342c31908,examples/facerec_from_webcam_much_faster.py,,,,,,,,,,
d4292a8fb2f795b9ebe265ffff2d38a5767ea349,39b587f1aef21060878707696d4e7251d72cd22b,examples/face_recognition_knn.py,,,,,,,,,,
267571c362a0c3738f4e1223c11b52b2c63cd58b,dd9d080cda9a4454b43da3b0aa9d805a37c96d77,examples/blink_detection.py,,,,,,,,,,
99641c5052a944e887fb786983e5575301c604a2,8f8c8b15a46488175356793898f3b1b7452f9028,face_recognition/api.py,,,,,,,,,,
3f060164d82cea8efbe43569d8c67ea5e87b9b00,c261b64d51ef8f55ad04f7b09cad7da9deacafef,face_recognition/cli.py,,,,,,,,,,
insert-tree@simple_stmt2file_input|,,,,,,,,,,,,
efbb40f2235d64f0d38d2eb6cebc238df57c250f,9fbab17b5716425817251e9343fb80a44a75e521,examples/facerec_ipcamera_knn.py,,,,,,,,,,
insert-tree@simple_stmt2file_input|insert-tree@simple_stmt2file_input|insert-tree@simple_stmt2file_input|insert-tree@simple_stmt2file_input|insert-tree@simple_stmt2file_input|insert-tree@simple_stmt2file_input|insert-tree@simple_stmt2file_input|insert-tree@simple_stmt2file_input|insert-tree@simple_stmt2file_input|insert-tree@while_stmt2file_input|insert-tree@simple_stmt2file_input|insert-tree@simple_stmt2file_input|,,,,,,,,,,,,
64cb085f9e02f39233e3452305b58c3c768daf60,bd3489186877da093cdebaa0123141b6ebaf9ba2,examples/facerec_from_webcam_faster.py,,,,,,,,,,
f37e636e22306d4efcc35fb1ef33d47183cfc5e7,bd3489186877da093cdebaa0123141b6ebaf9ba2,examples/facerec_from_video_file.py,,,,,,,,,,
insert-tree@simple_stmt2file_input|insert-tree@with_stmt2file_input|insert-tree@with_stmt2file_input|insert-tree@simple_stmt2file_input|insert-tree@simple_stmt2file_input|insert-tree@simple_stmt2file_input|,,,,,,,,,,,,
d8bce10d7fac8d94658ff67ee22932e4a4b207d3,13a31cf96abfbb92d790420fa5f6cba6c6fff266,setup.py,,,,,,,,,,
efbb40f2235d64f0d38d2eb6cebc238df57c250f,9fbab17b5716425817251e9343fb80a44a75e521,examples/facerec_ipcamera_knn.py,,,,,,,,,,
8f8c8b15a46488175356793898f3b1b7452f9028,f37e636e22306d4efcc35fb1ef33d47183cfc5e7,face_recognition/__init__.py,,,,,,,,,,
f72db69d6568e6dcc1d7e5af68e034574e3114e4,a8742eedf08a79e4039b8199514744a8e43d59bf,tests/test_face_recognition.py,,,,,,,,,,
,,,,,,,,,,,,
